Date,Odometer,Description,Type,Amount,Service Location
12/28/2020,"274,755",ELectrical problems. Rear windows and motors need to be replaced. New high beam headlight. Cluster not illuminating. Clutch rattle found nothing done. Oil Change.,Service,"$1,162.07",Shatz & Krum - Sac
9/6/2019,"271,471",Exhaust cut and reweld. Strut bar install. M badge. Gaskets and other misc parts install. Oil indicator bumb removed and not replaced. ,Service,"$1,107.99",CA Tuned Sac
9/4/2019,not reported, Title issued or updatedNew owner reported ,Ownership,,"Sacramento, CaliforniaCalifornia
Sacramento, CaliforniaMotor Vehicle Dept.
Sacramento, CaliforniaSacramento, CA"
7/17/2019,"271,392",BAR Certificate. Pass SMOG. ,Inspection,$8.25,CA Smog Ref Sac
7/17/2019,"271,392", Passed emissions inspection ,Inspection,,"Sacramento, CaliforniaCalifornia
Sacramento, CaliforniaInspection Station
Sacramento, CaliforniaSacramento, CA"
7/3/2019,"271,177",New catalytic converter. Exhaust changes. Zip tie wire away from ground?,Service,"$2,163.70",CA Tuned Sac
4/10/2019,,New Stereo,Cosmetic,$850.00,ML Audio
4/9/2019,,Redye front passenger seat and repair holes in door?,Cosmetic,$150.00,Maslom Interiors
4/5/2019,,Smog Inspection - FAIL,Inspection,$120.00,West Sac Smog
4/5/2019,"271,247",Smgh inspection - FAIL,Inspection,$0.00,West Sac Smog
4/5/2019,"271,249",Smgh inspection - FAIL. Recommend cat converter,,$120.00,West Sac Smog
4/5/2019,"271,247", Failed emissions inspectionDesignated GROSS POLLUTER ,Inspection,,"Sacramento, CaliforniaCalifornia
Sacramento, CaliforniaInspection Station
Sacramento, CaliforniaSacramento, CA"
4/2/2019,,"O2 Sensor. Cruise control delete. Antenna replace, Strut bar installed. Windshield install and fix.",Service,$666.10,CA Tuned Sac
2/22/2019,"271,177",BAR Certificate. Pass SMOG. ,Inspection,$8.25,
2/22/2019,"271,177", Failed emissions inspection ,Inspection,,"Sacramento, CaliforniaCalifornia
Sacramento, CaliforniaInspection Station
Sacramento, CaliforniaSacramento, CA"
2/18/2019,"271,164",Subrame rebuild. Rear trailing arms. rear diff. All new bushings. 2 new axels. New Sway bar links,Service,"$2,463.15",Ca Tuned Sac
2/18/2019,"271,164",Rewired engine bay. Installed ambient sensor. Rear subframe mounts torn and partially poking out of subframe?,Service,$429.70,Ca Tuned Sac
2/9/2019,,Car shipped from Anderson IN (Robert Marrone) to Sacramento (D Garber). This is apparently where the swapped engine was installed.,Ownership,$800.00,"ERBO, LLC"
1/10/2019,not reported," Title issued or updatedNew owner reported
Exempt from odometer reporting ",Ownership,,"Anderson, IndianaIndiana
Anderson, IndianaMotor Vehicle Dept.
Anderson, IndianaAnderson, IN"
1/9/2019,not reported, Vehicle purchase reported ,Ownership,,"Indiana
Motor Vehicle Dept."
6/9/2018,not reported," Title issued or updatedDuplicate title issued
Exempt from odometer reporting ",Ownership,,"Indianapolis, IndianaIndiana
Indianapolis, IndianaMotor Vehicle Dept.
Indianapolis, IndianaIndianapolis, IN"
5/18/2018,"270,224",Tire Rack.. Tires. balance and alignment. (Victor Gutierrez),Service,$602.85,Northwest Frame and Alignment
5/14/2018,,"Z3 steering rack, boot ends, Mtech steering wheel, alignment, Shifter. (Victor Gutierrez)",,,"Zionsville Autosport, Indiana"
5/8/2018,not reported, Mechanical issue reportedVehicle towed ,Service,,"Indiana
Service Facility"
4/5/2018,not reported, Registration issued or renewedVehicle color noted as Silver ,Ownership,,"Indianapolis, IndianaIndiana
Indianapolis, IndianaMotor Vehicle Dept.
Indianapolis, IndianaIndianapolis, IN"
4/5/2018,not reported," Title issued or updatedNew owner reported
Exempt from odometer reporting ",Ownership,,"Indianapolis, IndianaIndiana
Indianapolis, IndianaMotor Vehicle Dept.
Indianapolis, IndianaIndianapolis, IN"
3/23/2018,not reported, Vehicle purchase reported ,Ownership,,"Indiana
Motor Vehicle Dept."
8/25/2017,"269,654", Passed emissions inspection ,Inspection,,"Los Angeles, CaliforniaCalifornia
Los Angeles, CaliforniaInspection Station
Los Angeles, CaliforniaLos Angeles, CA"
8/24/2017,"269,644",Smog Fail - Groos polluter,,$62.00,Joy Automotive Santa Monica
8/24/2017,"269,644", Failed emissions inspectionDesignated GROSS POLLUTER ,Inspection,,"Santa Monica, CaliforniaCalifornia
Santa Monica, CaliforniaInspection Station
Santa Monica, CaliforniaSanta Monica, CA"
8/24/2017,not reported, Vehicle servicedCatalytic converter replaced ,Service,,"Los Angeles, CaliforniaKartek
Los Angeles, CaliforniaLos Angeles, CA
Los Angeles, California310-477-7475
5.0 / 5.0
21 Verified Reviews

136Customer Favorites"
7/31/2017,"269,637"," Vehicle servicedFuse block replaced
Electrical system checked
Turn signal lens replaced
ABS relay replaced ",Service,,"Marco Polo Independent BMW & Mini Service
La Jolla, CaliforniaLa Jolla, CA
La Jolla, California858-454-2002

4.9 / 5.0
54 Verified Reviews

26Customer Favorites"
6/20/2017,"269,637","Rebuilt crankshaft, starter remount, ABS light fix, fix electric fan, fog light,",,,"Marco Polo BMW Service La Jolla, CA"
2/24/2017,"269,244",Smog Fail - Groos polluter,Inspection,,Joy Automotive Santa Monica
12/23/2014,"269,636", Passed emissions inspection ,Inspection,,"Los Angeles, CaliforniaCalifornia
Los Angeles, CaliforniaInspection Station
Los Angeles, CaliforniaLos Angeles, CA"
12/13/2014,"269,626", Failed emissions inspection ,Inspection,,"Los Angeles, CaliforniaCalifornia
Los Angeles, CaliforniaInspection Station
Los Angeles, CaliforniaLos Angeles, CA"
3/17/2012,"269,428", Passed emissions inspection ,Inspection,,"Los Angeles, CaliforniaCalifornia
Los Angeles, CaliforniaInspection Station
Los Angeles, CaliforniaLos Angeles, CA"
1/11/2012,"269,072", Failed emissions inspection ,Inspection,,"Los Angeles, CaliforniaCalifornia
Los Angeles, CaliforniaInspection Station
Los Angeles, CaliforniaLos Angeles, CA"
12/10/2009,"259,682", Vehicle servicedEmissions inspection performed ,Inspection,,"Villa Automotive #2
San Luis Obispo, CaliforniaSan Luis Obispo, CA
San Luis Obispo, California805-781-3372

4.8 / 5.0
84 Verified Reviews

99Customer Favorites"
12/10/2009,not reported, Passed emissions inspection ,Inspection,,"Pacific Palisades, CaliforniaCalifornia
Pacific Palisades, CaliforniaInspection Station
Pacific Palisades, CaliforniaPacific Palisades, CA"
12/10/2009,not reported, Title issued or updatedNew owner reported ,Ownership,,"Pacific Palisades, CaliforniaCalifornia
Pacific Palisades, CaliforniaMotor Vehicle Dept.
Pacific Palisades, CaliforniaPacific Palisades, CA"
3/28/2009,"257,711", Passed emissions inspection ,Inspection,,"La Jolla, CaliforniaCalifornia
La Jolla, CaliforniaInspection Station
La Jolla, CaliforniaLa Jolla, CA"
3/28/2009,not reported, Title issued or updatedNew owner reported ,Ownership,,"La Jolla, CaliforniaCalifornia
La Jolla, CaliforniaMotor Vehicle Dept.
La Jolla, CaliforniaLa Jolla, CA"
12/26/2008,not reported, Title issued or updatedNew owner reported ,Ownership,,"La Jolla, CaliforniaCalifornia
La Jolla, CaliforniaMotor Vehicle Dept.
La Jolla, CaliforniaLa Jolla, CA"
11/11/2008,"250,533", Passed emissions inspection ,Inspection,,"Encinitas, CaliforniaCalifornia
Encinitas, CaliforniaInspection Station
Encinitas, CaliforniaEncinitas, CA"
10/11/2006,"224,039", Passed emissions inspection ,Inspection,,"California
Inspection Station"
3/15/2005,"213,111"," Vehicle servicedOil pan replaced/repaired
Oil pan drain plug replaced
Oil and filter changed
Engine oil/fluid leak checked
Engine mount(s) replaced
Subframe repaired/replaced ",Serviced,,"San Diego, CaliforniaBaron's Foreign Car Service
San Diego, CaliforniaSan Diego, CA
San Diego, California858-578-2800
4.9 / 5.0
41 Verified Reviews

54Customer Favorites"
11/18/2004,"211,460", Passed emissions inspection ,Inspection,,"Encinitas, CaliforniaCalifornia
Encinitas, CaliforniaInspection Station
Encinitas, CaliforniaEncinitas, CA"
11/7/2002,"187,088", Vehicle serviced ,Service,,"Alameda, CaliforniaService Facility
Alameda, CaliforniaAlameda, CA"
11/7/2002,not reported, Passed emissions inspection ,Inspection,,"Alameda, CaliforniaCalifornia
Alameda, CaliforniaInspection Station
Alameda, CaliforniaAlameda, CA"
11/8/2001,"172,194", Vehicle servicedRadio/sound system checked ,Service,,"Weatherford BMW
Berkeley, CaliforniaBerkeley, CA
Berkeley, California510-654-8280

4.5 / 5.0
185 Verified Reviews

201Customer Favorites"
10/4/2000,"155,647", Vehicle serviced ,Service,,"Alameda, CaliforniaService Facility
Alameda, CaliforniaAlameda, CA"
10/4/2000,not reported, Passed emissions inspection ,Inspection,,"Alameda, CaliforniaCalifornia
Alameda, CaliforniaInspection Station
Alameda, CaliforniaAlameda, CA"
10/15/1999,not reported, Title issued or updated ,Ownership,,"Danville, CaliforniaCalifornia
Danville, CaliforniaMotor Vehicle Dept.
Danville, CaliforniaDanville, CA"
11/18/1998,"125,839", Vehicle serviced ,,,"Alameda, CaliforniaService Facility
Alameda, CaliforniaAlameda, CA"
11/18/1998,not reported, Passed emissions inspection ,Inspection,,"Alameda, CaliforniaCalifornia
Alameda, CaliforniaInspection Station
Alameda, CaliforniaAlameda, CA"
11/6/1996,"93,624", Passed emissions inspection ,Inspection,,"California
Inspection Station"
12/7/1994,"61,205", Passed emissions inspection ,Inspection,,"California
Inspection Station"
12/7/1992,"43,807", Passed emissions inspection ,Inspection,,"California
Inspection Station"
